time,load_shortfall_3h
2018-01-01 00:00:00,7913.6035
2018-01-01 03:00:00,3947.8826
2018-01-01 06:00:00,2016.2413
2018-01-01 09:00:00,3902.6167
2018-01-01 12:00:00,7606.873
2018-01-01 15:00:00,9173.813
2018-01-01 18:00:00,4690.141
2018-01-01 21:00:00,8412.124
2018-01-02 00:00:00,10359.077
2018-01-02 03:00:00,5092.562
2018-01-02 06:00:00,4997.674
2018-01-02 09:00:00,7914.8716
2018-01-02 12:00:00,11604.06
2018-01-02 15:00:00,10339.375
2018-01-02 18:00:00,9963.828
2018-01-02 21:00:00,10956.887
2018-01-03 00:00:00,10975.687
2018-01-03 03:00:00,5291.5317
2018-01-03 06:00:00,6634.703
2018-01-03 09:00:00,9982.23
2018-01-03 12:00:00,8438.102
2018-01-03 15:00:00,8615.956
2018-01-03 18:00:00,4345.3945
2018-01-03 21:00:00,5480.2485
2018-01-04 00:00:00,5974.0337
2018-01-04 03:00:00,5636.3286
2018-01-04 06:00:00,5086.0493
2018-01-04 09:00:00,9580.732
2018-01-04 12:00:00,8675.373
2018-01-04 15:00:00,10117.128
2018-01-04 18:00:00,7071.9365
2018-01-04 21:00:00,8070.5874
2018-01-05 00:00:00,9435.232
2018-01-05 03:00:00,4590.2485
2018-01-05 06:00:00,4388.056
2018-01-05 09:00:00,6367.4463
2018-01-05 12:00:00,8825.193
2018-01-05 15:00:00,9653.895
2018-01-05 18:00:00,10429.295
2018-01-05 21:00:00,11269.426
2018-01-06 00:00:00,14908.802
2018-01-06 03:00:00,10457.31
2018-01-06 06:00:00,7852.481
2018-01-06 09:00:00,11726.573
2018-01-06 12:00:00,14662.282
2018-01-06 15:00:00,14062.44
2018-01-06 18:00:00,13823.554
2018-01-06 21:00:00,12513.834
2018-01-07 00:00:00,15913.519
2018-01-07 03:00:00,7453.7495
2018-01-07 06:00:00,3937.2996
2018-01-07 09:00:00,11966.487
2018-01-07 12:00:00,14731.634
2018-01-07 15:00:00,14676.0625
2018-01-07 18:00:00,12409.453
2018-01-07 21:00:00,17490.5
2018-01-08 00:00:00,13035.07
2018-01-08 03:00:00,8364.458
2018-01-08 06:00:00,5632.8267
2018-01-08 09:00:00,10179.885
2018-01-08 12:00:00,14919.099
